,NIM,TUGAS1,TUGAS2,QUIZ1,QUIZ2,UTS,UAS,AKUMULASI
0,1101110061,50.0,75.0,50.0,78.0,79.0,40.0,60.625
1,1101110062,66.0,80.0,60.0,50.0,65.0,26.0,51.050000000000004
2,1101110063,60.0,75.0,77.0,79.0,80.0,51.0,67.675
3,1101110064,52.0,85.0,50.0,80.0,80.0,30.0,58.525
4,1101110065,70.0,85.0,72.0,80.0,80.0,88.0,81.82499999999999
5,1101110066,67.0,77.0,75.0,80.0,50.0,95.0,73.175
6,1101110067,72.0,80.0,70.0,90.0,85.0,86.0,83.24999999999999
7,1101110068,66.0,95.0,72.0,85.0,60.0,95.0,78.1
8,1101110069,76.0,95.0,90.0,100.0,95.0,79.0,87.975
9,1101110070,80.0,90.0,100.0,100.0,66.0,45.0,66.6
10,1101110071,92.0,75.0,60.0,92.0,86.0,79.0,81.675
11,1101110072,59.0,85.0,60.0,80.0,80.0,42.0,64.0
12,1101110073,55.0,80.0,70.0,90.0,85.0,61.0,73.225
13,1101110074,82.0,81.0,64.0,67.0,60.0,85.0,72.8
14,1101110075,98.0,95.0,80.0,100.0,100.0,100.0,97.975
15,1101110076,50.0,68.0,70.0,70.0,85.0,70.0,73.6
16,1101110077,100.0,100.0,90.0,90.0,95.0,96.0,95.35
17,1101110078,60.0,90.0,60.0,80.0,80.0,32.0,60.95
18,1101110079,95.0,100.0,78.0,66.0,100.0,90.0,91.925
19,1101110080,50.0,80.0,60.0,80.0,80.0,91.0,80.1
20,1101110081,73.0,95.0,90.0,90.0,95.0,88.0,90.15
21,1101110082,100.0,66.0,100.0,95.0,90.0,98.0,92.875
22,1101110083,80.0,95.0,90.0,90.0,95.0,100.0,94.875
23,1101110084,50.0,51.0,50.0,51.0,51.0,51.0,50.849999999999994
24,1101110085,62.0,95.0,90.0,90.0,95.0,58.0,78.82499999999999
25,1101110086,90.0,95.0,92.0,75.0,80.0,77.0,81.35
26,1101110087,60.0,95.0,70.0,70.0,85.0,64.0,74.275
27,1101110088,64.0,80.0,80.0,80.0,90.0,54.0,73.19999999999999
28,1101110089,85.0,85.0,90.0,95.0,90.0,100.0,93.125
29,1101110090,50.0,90.0,66.0,60.0,70.0,20.0,51.45
30,1101110091,60.0,80.0,80.0,80.0,80.0,72.0,75.7
31,1101110092,67.0,95.0,70.0,90.0,85.0,92.0,86.1
32,1101110093,60.0,84.0,82.0,71.0,84.0,60.0,72.675
33,1101110094,52.0,70.0,50.0,78.0,79.0,25.0,55.15
34,1101110095,53.0,100.0,90.0,90.0,95.0,74.0,84.125
35,1101110096,50.0,85.0,60.0,80.0,80.0,42.0,63.325
36,1101110097,71.0,85.0,63.0,91.0,98.0,73.0,83.1
37,1101110098,50.0,66.0,70.0,90.0,85.0,37.0,63.39999999999999
38,1101110099,88.0,90.0,80.0,88.0,94.0,56.0,78.44999999999999
39,1101110100,85.0,85.0,90.0,95.0,77.0,100.0,88.575
40,1101110101,60.0,70.0,20.0,67.0,50.0,90.0,65.27499999999999
41,MAX,100.0,100.0,100.0,100.0,100.0,100.0,100.0
42,MIN,50.0,51.0,20.0,50.0,50.0,20.0,37.325
43,MEAN,68.54,84.1,72.71,81.78,81.44,68.59,75.54525
44,MEDIAN,66.0,85.0,72.0,80.0,84.0,73.0,77.675
